specObjID,ra,dec,z,class,x,y,z_cart
327671264976070656,190.78982,-1.2095821,0.01024314,GALAXY,-44.466882493788496,-8.474323642376158,-0.9557860942502292
1849901703306962944,213.93118,36.221978,0.01024389,GALAXY,-30.308733155898015,-20.390573767498577,26.75698071517248
508916410680895488,146.10699,57.788458,0.01024733,GALAXY,-20.042082039574872,13.46417132416785,38.32408926102906
396375069745506304,259.19885,61.920116,0.0102476,GALAXY,-3.9956459863466445,-20.943625954612397,39.96513460245601
8329508229903308800,173.04638,45.018902,0.01025017,GALAXY,-31.79163784126689,3.877402091022868,32.048353401322146
9474534160167360512,226.96608,54.761395,0.01025381,GALAXY,-17.846499355457087,-19.11532654324205,37.01892664364926
1969261665551673344,161.33939,13.714204,0.01025434,GALAXY,-41.71954485520853,14.089326679381008,10.745998689945436
2013127525215004672,147.6504,64.4881,0.01025709,GALAXY,-16.496683827719565,10.448769732055984,40.91806586685453
12114684509993326592,213.91567,36.220238,0.01026031,GALAXY,-30.363400986599185,-20.41541483718025,26.79865515994106
1982799677665339392,175.58577,16.010958,0.01026154,GALAXY,-43.46957965569135,3.355662112131666,12.510810375563855
1467055601245775872,144.25851,9.1026891,0.01026244,GALAXY,-36.35517820693498,26.163786016355683,7.176528071311623
1480697512544200704,185.20289,58.087557,0.0102647,GALAXY,-23.886028203666733,-2.1750136521729875,38.514626289701944
2438769363088599040,234.28415,20.145901,0.01026585,GALAXY,-24.86910281586726,-34.58882316063034,15.628521881479449
620456369136363520,132.47918,49.670467,0.01026843,GALAXY,-19.837486352686895,21.66461725025563,34.601456210942004
2238417990741682176,165.50102,39.318502,0.01027002,GALAXY,-34.00131749961658,8.792692811445873,28.764174736201507
1810592238384736256,176.02909,13.340868,0.01027174,GALAXY,-44.07209758230575,3.059336540685422,10.476551093725275
1970410655219476480,162.83306,14.023437,0.01027332,GALAXY,-42.0941841619397,13.003715439328696,11.003781219068035
1470500370269628416,146.97704,9.5127345,0.01027356,GALAXY,-37.55172239917097,24.40777344646064,7.504999194131616
887213838741563392,214.32053,58.709281,0.01027395,GALAXY,-19.48017172603489,-13.298702798387788,38.80747195342521
1310649791008499712,224.4735,53.767386,0.01027525,GALAXY,-19.15626311351416,-18.807399183494617,36.63594508811704
2358855745753081856,179.40361,32.277617,0.01027946,GALAXY,-38.41392430912784,0.3998637935446122,24.264590555973626
883968355311052800,203.67318,61.993391,0.01028179,GALAXY,-19.54519804952543,-8.568832316719494,40.125477533151376
10837964312435513344,154.00927,25.622098,0.0102858,GALAXY,-36.84859364815314,17.96488052547298,19.66075688419835
2241829500058888192,179.13554,32.130357,0.01028654,GALAXY,-38.50029808660988,0.5809239983995479,24.182378798437895
425601745662535680,342.20651,-0.9864313,0.01029027,GALAXY,43.30285667565343,-13.897599197201469,-0.7830542653459273
395212611093817344,257.54355,61.350358,0.01029225,GALAXY,-4.704819865187616,-21.298670603388143,39.92392086437955
2505270016920807424,180.42016,30.184508,0.01029245,GALAXY,-39.32505811318908,-0.2883827174994767,22.874112867998154
868126317420242944,153.73624,60.765742,0.01029377,GALAXY,-19.927601015580926,9.833155616653132,39.70513582891522
1849853874551154688,214.68367,35.27049,0.01029402,GALAXY,-30.54796076686511,-21.13953239655835,26.27433395238685
892886769521944576,227.37851,54.634291,0.01029442,GALAXY,-17.834190500342107,-19.379942550042404,37.106850481424225
520250726262269952,54.088886,-6.7147541,0.0102946,GALAXY,26.506472365452403,36.60230558550148,-5.320644610791862
9840468663496628224,359.97431,5.2375366,0.01029621,GALAXY,45.321264232852215,-0.020320927057129692,4.15449792337348
1087773285963294720,173.32024,49.284851,0.01029679,GALAXY,-29.487095415617972,3.4533778393100727,34.497759943388886
1960225598999652352,143.38956,10.387321,0.01029824,GALAXY,-35.9406655663512,26.70205608839155,8.207366634565545
613720489533138944,120.67863,40.678534,0.0102997,GALAXY,-17.6161639342413,29.694224741879175,29.67493962024366
7846473524311250944,182.70114,58.826111,0.01030084,GALAXY,-23.542714368382196,-1.1107156918756869,38.95693650671285
8746067581235124224,343.39611,29.026149,0.01030118,GALAXY,38.15403337133766,-11.377032023580092,22.093107481075045
7098893030997121024,353.96527,23.62052,0.01030124,GALAXY,41.48745071226707,-4.385933944287219,18.24422178841588
1593307570892728320,254.54107,22.990538,0.01030705,GALAXY,-11.17908482860136,-40.42297301817532,17.794427213331343
1326422562720212992,326.16439,-6.6896543,0.01030845,GALAXY,37.59057931837413,-25.198546746309418,-5.307960937727312
1469360447579777024,146.01211,9.3742115,0.01031104,GALAXY,-37.28549999230789,25.137922904271235,7.423616004970703
498817120864331776,126.68361,48.808691,0.01031153,GALAXY,-17.932088219155478,24.072109971714895,34.29875275274437
1074108826355001344,182.70249,58.824663,0.01031158,GALAXY,-23.56815958461517,-1.1124727135436883,38.99685965520517
2721372156033263616,47.557316,40.767168,0.01031304,GALAXY,23.299317286987453,25.477864604124807,29.766725316143006
889565420963522560,217.82523,58.761251,0.01031601,GALAXY,-18.67894584369796,-14.502054224488012,38.98742451858187
1625942728107911168,175.74854,48.356799,0.01031632,GALAXY,-30.21733389012598,2.246310046072845,34.07672741565194
1087774110597015552,173.22234,50.159149,0.01031695,GALAXY,-29.011557484386593,3.447946682046474,35.01501222848731
2897076043246495744,130.65243,10.553878,0.01031837,GALAXY,-29.21018955292918,34.0170654551671,8.353746829126786
318796832270477312,177.02241,0.99136246,0.01032394,GALAXY,-45.56513197463861,2.370096984037536,0.7895370901230987
2569344880891422720,134.97477,21.151439,0.0103244,GALAXY,-30.082000486828033,30.108505171271013,16.466884008607305
692444699880876032,233.80957,57.514824,0.01032678,GALAXY,-14.475784559576343,-19.785584645790923,38.50386164384117
